X,Y,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
173.293800308885,-41.270616440238,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,316.66256694496229
173.293668255287,-41.2704350545442,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00001811353085,316.66994789673259
173.2937993,-41.2705026,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00007922531369,225.41218909915895
173.2937995,-41.2705407,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00011732583862,134.76670178716114
173.293826478961,-41.2704347537387,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00018642612804,134.74733909878390
173.2938699,-41.2707599,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"5","0","0","5",0.00040582997942,145.70855338275663
173.293914,-41.2707775,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"6","0","0","6",0.00045331229191,100.77598386856135
173.29411,-41.2707768,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"7","0","0","7",0.00064931354190,44.72458962789731
173.2941096,-41.2707106,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"8","0","0","8",0.00071551475034,314.73012004079669
173.29408,-41.2707107,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"9","0","0","9",0.00074511491927,314.72638037407467
173.2940796,-41.2706459,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"10","0","0","10",0.00080991615383,44.72334539226192
173.2941657,-41.2706456,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"11","0","0","11",0.00089601667648,134.70629058534658
173.2941661,-41.2707047,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"12","0","0","12",0.00095511803010,134.70487973910247
173.294251,-41.2707044,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"13","0","0","13",0.00104001856013,134.70455112427967
173.2942516,-41.2707929,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"14","0","0","14",0.00112852059400,134.70036045555716
173.2943603,-41.2707925,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"15","0","0","15",0.00123722132996,44.72349356875633
173.2943594,-41.2706418,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"16","0","0","16",0.00138792401740,44.72313676677902
173.2945219,-41.2706412,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"17","0","0","17",0.00155042512510,134.71648355756943
173.2945236,-41.2709152,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"18","0","0","18",0.00182443039877,224.72153945740413
173.2941254,-41.2709166,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"19","0","0","19",0.00222263285982,314.65232105200806
173.2941253,-41.270905,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"20","0","0","20",0.00223423329084,314.65361608518378
173.2936931,-41.2709065,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"21","0","0","21",0.00266643589377,314.73255368887664
173.2936929,-41.2708724,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"22","0","0","22",0.00270053648028,314.74507980194744
173.293594,-41.2708727,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"23","0","0","23",0.00279943693527,224.76693927715317
173.2935941,-41.2708923,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"24","0","0","24",0.00281903719037,224.76763655715243
